Player,Pos,ADP,+/-,%,σ
Wan'Dale Robinson,WR47,102.4,2.2,2.1%,3.5
Tony Pollard,RB35,105.1,-19.9,-23.4%,5.8
Jared Goff,QB16,105.4,14.4,12.0%,3.0
Jayden Reed,WR48,105.6,4.1,3.7%,3.1
Kyler Murray,QB17,106.1,45.7,30.1%,17.1
Jadarian Price,RB36,108.3,-11.2,-11.5%,3.6
Jordan Love,QB18,109.1,8.5,7.2%,2.1
Xavier Worthy,WR49,109.2,-0.4,-0.4%,3.9
Baker Mayfield,QB19,111.5,20.9,15.8%,4.4
Oronde Gadsden,TE9,112.2,-0.1,-0.1%,3.0
Kenneth Gainwell,RB37,114.5,16.5,12.6%,6.1
Jalen Coker,WR50,116.6,-2.7,-2.4%,1.5
KC Concepcion,WR51,117.1,45.7,28.1%,7.1
Tyler Shough,QB20,118.6,27.4,18.8%,5.5
Jordan Mason,RB38,119.8,39.3,24.7%,14.8
Dalton Kincaid,TE10,119.9,-25.4,-26.9%,5.6
Josh Downs,WR52,121.3,9.4,7.2%,11.7
Matthew Golden,WR53,121.8,4.3,3.4%,1.4
George Kittle,TE11,123.1,9.2,7.0%,2.9
Malik Willis,QB21,123.9,49.0,28.3%,15.5
Jayden Higgins,WR54,125.2,-7.4,-6.3%,2.0
Rachaad White,RB39,125.9,42.2,25.1%,16.7
Khalil Shakir,WR55,126.8,-24.3,-23.7%,7.1
Jake Ferguson,TE12,128.0,9.4,6.8%,2.1
Jonah Coleman,RB40,129.2,-18.4,-16.6%,4.6
Sam Darnold,QB22,129.5,21.0,14.0%,6.3
Kenyon Sadiq,TE13,131.2,-2.4,-1.9%,7.5
Jalen McMillan,WR56,132.4,11.4,7.9%,8.4
Mike Washington Jr.,RB41,133.1,104.2,43.9%,43.1
Travis Kelce,TE14,133.3,61.3,31.5%,14.6
C.J. Stroud,QB23,135.5,27.7,17.0%,6.4
Jauan Jennings,WR57,136.0,-5.6,-4.3%,7.6
Dallas Goedert,TE15,137.2,-22.2,-19.3%,7.7
Aaron Jones,RB42,137.4,12.5,8.3%,9.6
Denzel Boston,WR58,137.7,-55.6,-67.7%,14.9
Jacory Croskey-Merritt,RB43,139.6,-13.4,-10.6%,5.6
Chris Rodriguez,RB44,140.0,88.3,38.7%,37.2
Rashid Shaheed,WR59,141.4,-2.0,-1.4%,1.5
Cam Ward,QB24,141.7,28.0,16.5%,5.5
Omar Cooper Jr.,WR60,142.4,91.9,39.2%,28.6
Isaiah Likely,TE16,142.6,25.7,15.3%,12.2
Daniel Jones,QB25,144.5,38.7,21.1%,8.6
Zach Charbonnet,RB45,146.1,4.1,2.7%,5.2
